Symbol	Ensembl	Canonical	MANE
DDX11L1	ENST00000450305	Y	N
WASH7P	ENST00000488147	Y	N
MIR1302-2HG	ENST00000473358	Y	N
FAM138A	ENST00000417324	Y	N
OR4G4P	ENST00000606857	Y	N
OR4G11P	ENST00000492842	Y	N
OR4F5	ENST00000641515	Y	Y
RP11-34P13.8	ENST00000495576	Y	N
RP11-34P13.7	ENST00000477740	Y	N
CICP27	ENST00000442987	Y	N
RP11-34P13.15	ENST00000494149	Y	N
RP11-34P13.16	ENST00000595919	Y	N
RP11-34P13.14	ENST00000493797	Y	N
RP11-34P13.13	ENST00000466557	Y	N
RP11-34P13.9	ENST00000496488	Y	N
AP006222.3	ENST00000669836	Y	N
RP5-857K21.2	ENST00000423796	Y	N
MTND1P23	ENST00000416931	Y	N
MTND2P28	ENST00000457540	Y	N
MTCO1P12	ENST00000414273	Y	N
MTCO2P12	ENST00000427426	Y	N
MTATP8P1	ENST00000467115	Y	N
MTATP6P1	ENST00000514057	Y	N
MTCO3P12	ENST00000416718	Y	N
WBP1LP6	ENST00000438434	Y	N
OR4F16	ENST00000332831	Y	N
RP11-206L10.17	ENST00000636676	Y	N
CICP3	ENST00000440782	Y	N
RP11-206L10.4	ENST00000422528	Y	N
RP11-206L10.2	ENST00000428504	Y	N
LINC01409	ENST00000412115	Y	N
RP11-206L10.18	ENST00000644482	Y	N
RP11-206L10.8	ENST00000590817	Y	N
FAM87B	ENST00000326734	Y	N
LINC00115	ENST00000473798	Y	N
LINC01128	ENST00000445118	Y	N
RP11-206L10.19	ENST00000661463	Y	N
FAM41C	ENST00000446136	Y	N
TUBB8P11	ENST00000415481	Y	N
FAM166AP3	ENST00000635557	Y	N
RP11-54O7.16	ENST00000607769	Y	N
RP11-54O7.1	ENST00000448179	Y	N
RP11-54O7.2	ENST00000398216	Y	N
LINC02593	ENST00000417705	Y	N
SAMD11	ENST00000616016	Y	Y
NOC2L	ENST00000327044	Y	Y
KLHL17	ENST00000338591	Y	Y
PLEKHN1	ENST00000379410	Y	Y
PERM1	ENST00000433179	Y	N
RP11-54O7.17	ENST00000606034	Y	N
HES4	ENST00000304952	Y	Y
RP11-54O7.10	ENST00000423619	Y	N
RP11-54O7.11	ENST00000458555	Y	N
ISG15	ENST00000649529	Y	Y
AGRN	ENST00000379370	Y	Y
RP11-54O7.14	ENST00000418300	Y	N
RP11-54O7.18	ENST00000442292	Y	N
RP11-465B22.3	ENST00000412397	Y	N
RNF223	ENST00000453464	Y	Y
C1orf159	ENST00000421241	Y	Y
RP11-465B22.9	ENST00000648183	Y	N
LINC01342	ENST00000416774	Y	N
RP11-465B22.8	ENST00000606993	Y	N
TTLL10-AS1	ENST00000379317	Y	N
TTLL10	ENST00000379289	Y	Y
TNFRSF18	ENST00000379268	Y	Y
TNFRSF4	ENST00000379236	Y	Y
SDF4	ENST00000360001	Y	Y
B3GALT6	ENST00000379198	Y	Y
C1QTNF12	ENST00000330388	Y	Y
RP5-902P8.12	ENST00000565563	Y	N
UBE2J2	ENST00000349431	Y	Y
LINC01786	ENST00000434139	Y	N
SCNN1D	ENST00000379116	Y	Y
ACAP3	ENST00000354700	Y	Y
PUSL1	ENST00000379031	Y	Y
INTS11	ENST00000435064	Y	Y
RP5-890O3.9	ENST00000444968	Y	N
CPTP	ENST00000343938	Y	Y
TAS1R3	ENST00000339381	Y	Y
DVL1	ENST00000378888	Y	Y
MXRA8	ENST00000309212	Y	Y
AURKAIP1	ENST00000338370	Y	N
NDUFB4P8	ENST00000435351	Y	N
CCNL2	ENST00000400809	Y	Y
MRPL20-AS1	ENST00000444362	Y	N
MRPL20	ENST00000344843	Y	Y
MRPL20-DT	ENST00000607307	Y	N
ANKRD65	ENST00000537107	Y	Y
RP4-758J18.7	ENST00000428932	Y	N
TMEM88B	ENST00000378821	Y	Y
LINC01770	ENST00000430109	Y	N
VWA1	ENST00000476993	Y	Y
ATAD3C	ENST00000378785	Y	Y
ATAD3B	ENST00000673477	Y	Y
RP5-832C2.8	ENST00000641679	Y	N
ATAD3A	ENST00000378756	Y	Y
TMEM240	ENST00000378733	Y	Y
SSU72	ENST00000291386	Y	Y
RP5-832C2.5	ENST00000647566	Y	N
RP11-345P4.11	ENST00000621860	Y	N
FNDC10	ENST00000422725	Y	Y
RP11-345P4.12	ENST00000658591	Y	N
RP11-345P4.9	ENST00000607222	Y	N
MIB2	ENST00000355826	Y	Y
MMP23B	ENST00000356026	Y	Y
CDK11B	ENST00000341832	Y	Y
RP11-345P4.10	ENST00000607013	Y	N
SLC35E2B	ENST00000617444	Y	Y
RP11-345P4.6	ENST00000597891	Y	N
MMP23A	ENST00000234610	Y	N
CDK11A	ENST00000404249	Y	Y
RP1-283E3.8	ENST00000598846	Y	N
SLC35E2A	ENST00000643943	Y	N
RP1-283E3.4	ENST00000418950	Y	N
NADK	ENST00000341426	Y	Y
